Id,BIRTHDATE,DEATHDATE,SSN,DRIVERS,PASSPORT,PREFIX,FIRST,MIDDLE,LAST,SUFFIX,MAIDEN,MARITAL,RACE,ETHNICITY,GENDER,BIRTHPLACE,ADDRESS,CITY,STATE,COUNTY,FIPS,ZIP,LAT,LON,HEALTHCARE_EXPENSES,HEALTHCARE_COVERAGE,INCOME
a7f937b4-1492-e9ca-2ab6-41efaa21ad43,2022-04-30,,999-77-7302,,,,Homero668,José Luis472,Acosta403,,,,black,hispanic,M,Mexico City  Mexico City  MX,173 Fahey Parade Apt 66,Chelsea,Massachusetts,Suffolk County,25025,02151,42.40701365681691,-71.02571731495138,13899.99,1161.46,78598
8ca32919-128b-ab06-d508-8b070922eff7,2014-06-19,,999-61-4044,,,,Rory188,Percy315,Friesen796,,,,asian,nonhispanic,M,Hanoi  Hà Đông  VN,857 Metz Divide Unit 26,Chelsea,Massachusetts,Suffolk County,25017,02149,42.38583385085695,-71.0413986477816,29629.02,1274.42,105947
7fabde75-575a-d891-8474-ec4bd372e011,2002-06-18,,999-15-4198,S99964987,X14411989X,Ms.,Carmel816,Helena807,Stanton715,,,,white,nonhispanic,F,Westwood  Massachusetts  US,797 Brown Park,Chelsea,Massachusetts,Suffolk County,25017,02149,42.410528426811595,-71.06378033991405,99921.76,0.00,59624
b339efdd-e330-7d9e-f513-1b77fce9e4fa,2001-12-21,,999-16-2736,S99927769,X85310820X,Mr.,Vincenzo126,,Graham902,,,,black,nonhispanic,M,Orange  Massachusetts  US,613 Kozey Forge Apt 24,Chelsea,Massachusetts,Suffolk County,25025,02151,42.38261072832704,-71.06620057460303,437172.41,341347.82,57398
ae5f8e68-40a6-b435-24dd-368ed04c7c44,2021-07-09,,999-93-3261,,,,Mervin111,,Becker968,,,,white,nonhispanic,M,Lawrence  Massachusetts  US,1018 Braun Bridge Unit 67,Chelsea,Massachusetts,Suffolk County,25025,02150,42.4037387436793,-71.08187393254107,785.55,10829.98,10360
3ddf225f-2652-b0ae-7995-b46748c56f77,1970-06-10,,999-85-7006,S99947604,X70344390X,Mrs.,Lorena247,Bambi5,O'Conner199,,Greenfelder433,M,white,nonhispanic,F,Boston  Massachusetts  US,403 Huel Neck,Chelsea,Massachusetts,Suffolk County,25017,02149,42.39134675360757,-71.04034780606145,16939.98,889321.72,10061
22229460-53bb-1d5f-b65a-3960ddc0f6c2,1990-10-16,,999-78-1712,S99911936,X80381532X,Mr.,Norbert530,Alfredo17,Kuvalis369,,,W,asian,nonhispanic,M,Chelsea  Massachusetts  US,372 Larkin Arcade,Chelsea,Massachusetts,Suffolk County,25025,02151,42.403143473089315,-71.07250928703384,71779.02,36053.68,26869
26710bf0-e4f6-dba5-868a-0b30ff163edb,1967-06-10,,999-18-5416,S99979815,X83501497X,Mr.,Cameron381,Santos184,O'Kon634,,,M,asian,hispanic,M,Wayland  Massachusetts  US,342 Goldner Underpass Unit 2,Chelsea,Massachusetts,Suffolk County,25017,02149,42.40897733614496,-71.02589417700611,204160.83,6788.95,53036
27c12c68-a1bb-9e8a-d025-db878694f664,1971-03-14,,999-72-4282,S99921725,X74725769X,Mrs.,Cristin88,Opal236,Quigley282,,Murphy561,M,asian,nonhispanic,F,Hyderabad  Andhra Pradesh  IN,520 Boehm Bypass,Chelsea,Massachusetts,Suffolk County,25025,02150,42.40899230837814,-71.05694887007047,71340.56,154560.13,38078
3d1fe222-7722-a895-9bdd-11c5f5e630c9,2000-02-11,,999-87-7592,S99991837,X88268739X,Mr.,Ashley34,,Bartell116,,,,asian,nonhispanic,M,Seekonk  Massachusetts  US,736 Auer Orchard,Chelsea,Massachusetts,Suffolk County,25017,02149,42.410274586979206,-71.03772651376342,61738.20,11187.57,51307
08bda8f4-0973-5848-2253-c7a542614a0c,1975-01-14,,999-51-5671,S99925105,X53846053X,Mrs.,Margurite588,Leonida214,Watsica258,,Satterfield305,M,white,nonhispanic,F,Mashpee  Massachusetts  US,339 Ruecker Trace,Chelsea,Massachusetts,Suffolk County,25017,02149,42.40500788766459,-71.00857957684705,22359.61,1182717.71,6716
a8626b8c-f70d-cf9c-3d4b-3f5d5e6164c7,1973-12-19,,999-65-2061,S99959370,X65680321X,Mr.,Refugio197,Sterling124,Macejkovic424,,,M,white,nonhispanic,M,Rowley  Massachusetts  US,278 Wilkinson Run,Chelsea,Massachusetts,Suffolk County,25025,02151,42.41385725088337,-71.03753254253428,250289.09,77061.66,85475
e288c6da-6305-7b18-2ec8-1263b5c8bd21,1977-02-08,,999-20-2343,S99917355,X27582406X,Ms.,Ludie599,Bailey598,Reichert620,,,S,white,nonhispanic,F,Barnstable  Massachusetts  US,505 Durgan Skyway,Chelsea,Massachusetts,Suffolk County,25025,02151,42.372582123802935,-71.0699339536866,864149.04,336586.78,48134
bf74d841-8eb3-111c-97c7-4e68202bbe04,2011-05-21,,999-17-6100,,,,Latasha666,Kemberly945,Collins926,,,,white,nonhispanic,F,Franklin  Massachusetts  US,830 Corwin Byway Unit 61,Chelsea,Massachusetts,Suffolk County,25025,02151,42.41245603793274,-71.05120610972948,21054.73,18193.01,81393
94e62884-486f-4a5f-92df-47c96ad8efef,2018-03-06,,999-59-1652,,,,Kenyatta61,,Funk324,,,,asian,nonhispanic,F,Harwich Center  Massachusetts  US,696 Monahan Knoll Apt 28,Chelsea,Massachusetts,Suffolk County,25025,02150,42.39638565464504,-71.01857584838231,20929.90,4236.87,50326
5c3bbe0e-4b1d-6f72-c39c-b579d794434f,1978-09-19,,999-56-8379,S99935960,X81609019X,Mr.,Lamar193,Chet188,Marks830,,,M,black,nonhispanic,M,Woburn  Massachusetts  US,164 Ernser Ferry Unit 66,Chelsea,Massachusetts,Suffolk County,25025,02150,42.388847124827514,-71.06328459636507,7729.62,118889.67,4065
730eb9ca-c985-65e2-1d20-8e82fe78cf41,2020-11-30,,999-63-8920,,,,Andreas188,Marcus77,Eichmann909,,,,black,nonhispanic,M,Westhampton  Massachusetts  US,448 Cummings Bridge Unit 20,Chelsea,Massachusetts,Suffolk County,25025,02150,42.384566547182985,-71.05341632785677,1377.42,34977.69,13317
3d48ee2b-d1be-ea39-469e-c918dbe834fb,2012-11-04,,999-88-2337,,,,Candy565,Sherron201,Abernathy524,,,,white,nonhispanic,F,Milford  Massachusetts  US,888 Leannon Passage,Chelsea,Massachusetts,Suffolk County,25017,02149,42.40424125612422,-71.02490285585989,21518.67,16304.27,57140
c694dd99-02aa-7b8e-ba12-a6a9b61f4557,1982-10-15,,999-23-7869,S99996291,X54363416X,Mr.,Jesus702,Zack583,Lindgren255,,,S,black,nonhispanic,M,Norwood  Massachusetts  US,661 Hegmann Track Unit 72,Chelsea,Massachusetts,Suffolk County,25017,02149,42.393501715049226,-71.04648062542847,180874.39,266862.79,47843
5418fab9-eb73-21dc-cead-35aa65e6066f,1999-02-05,,999-71-8137,S99965817,X15324398X,Mr.,Glen190,,Streich926,,,,black,nonhispanic,M,Boston  Massachusetts  US,354 Swift Course,Chelsea,Massachusetts,Suffolk County,25025,02150,42.414739071452814,-71.06231825072211,49192.40,0.00,65249
